movie_id,title,release_year,runtime_minutes,rating,director_name,company_name
278,Би эмэгтэй хүн,2012,94,6.3,С.Бэхбаатар,ТАКТ ХХК Имажинешн фильм
279,Ерөнхийлөгчийн туслах,2013,99,6.9,М.Энхдалай,Шинэ ертөнц продакшн
280,0.145833333,2010,86,6.8,М.Энхдалай,Шинэ ертөнц продакшн
281,Миний найз,2012,77,6.3,А.Алтанхундага,Ред фильм
282,Шидэт өвөл,2009,67,6.6,А.Алтанхундага,Dream art studio
283,Гурван долоо хоног,1999,87,8.1,Б.Баяр,[]
284,Доргио 7 эр,2011,105,5.8,Н.Ариунболд,Шинэ үе продакшн
285,Лардьма,2013,95,6.5,Ж.Сэнгэдорж,Блек зебра Навчаа фильм Хаанаас үзэх вэ?
286,Ану хатан,2013,170,6.8,Т.Алтантуяа,Шүүдэр продакшн Хаанаас үзэх вэ?
287,The Call,2013,69,5.9,Б.Чингүүн,Аурора фильмс Mogul cinema Хаанаас үзэх вэ?
288,Нянгар хаданд гарсан нь,2009,110,6.3,Б.Түмэн-Өлзий,Н Ти Ви продакшн
289,Дурлалын сум,2012,86,6.6,Ц.Хүсэлбаатар,Шилдэг өнгө продакшн
290,Эрэмдэг,2013,100,6.5,С.Бэхбаатарийн,Имажинешн фильм
291,Шөнө дундын яриа,2013,95,5.5,О.Батзориг,Очир фильм студи Хаанаас үзэх вэ?
292,Single Ladies,2013,100,6.8,А.Миеэгомбо,U film Бондоолой фильм Миеэгомбо кино компани Хаанаас үзэх вэ?
293,Зэрлэг цэцэгсийн хүлэмж,2013,110,7.6,У.Уранчимэг,Хувьсал продакшн
294,Шарталт,2013,85,1.3,Л.Лхагважаргал,[]
295,Үхлийн симфони,2013,75,6.4,,Оюунлаг продакшн
296,Хунгийн сүүлчийн дуу,2012,89,5.8,Р.Алтансүх,Твинс фильмс студи (Twins Film)
297,Зүүдэнд ч оромгүй явдал,2013,90,5,Н.Наранбаатар,[]
298,Дүүлэн нис,2013,100,6.9,Ш.Доржсүрэн,[]
299,Микроны Boss,2013,80,6.5,Л.Лхагважаргал,[]
300,Сарны гөлөг,2013,89,6.3,Ш.Даваадорж,Заяа'Ш студи
301,Тагнуулч аав,2013,97,4.5,,Гөү адвенчер студи
302,Facebook од,2013,90,6.5,Д.Лхагва,Л Ви Эй интертайнмент
303,Голланд сарнай,2013,92,6.6,С.Баттулга,ХЕРУБ интертайнмент
304,Хөлтрөг,2013,91,4.2,,Лоожикфильм (Logicfilm)
305,Цавчуур.ком,2009,95,5.7,Д.Амараа,Си Эй Си пикчерс
307,Шарга даага,2013,90,7.4,Ч.Хоролдорж,Ай сити фильмс Хаанаас үзэх вэ?
308,Гарал угсаа,2012,112,6.7,Т.Билэгжаргал,Блек зебра
314,Амжих уу хайраа,2013,87,6.3,Б.Ганхөлөг,Ебенезер продакшн
482,Хүний хүүхэд,2011,87,6.9,Б.Амарсанаа,С Ти студи
541,Шинэ үсгийн багш,1998,87,6.9,Б.Бадрууган,[]
562,Тайна Чингис Хаана,2009,87,6.5,,[]
839,Khadak,2006,87,6.8,,[]
881,Ганцхан оноо,2013,103,6.1,Д.Тэмүүлэн,[]
888,Ядуугийн зовлон,2000,87,7.1,Г.Энхтөр,Хас студи
889,Анирлагч,2014,88,6.8,Д.Энхбаатар,Амар медиа
890,Сайн Муу Хэрцгий 2: Эргэж ирсэн нь,2013,72,4.9,А.Миеэгомбо,Миеэгомбо кино компани
891,Анхаар! Дотор чимээгүй,2014,100,6.5,Н.Отгонбаяр,АНТ интертайнмент
892,Кино шиг амьдрал,2013,90,6.4,Ш.Доржсүрэн,[]
893,Аз жаргалын шок,2014,90,7.3,Б.Тамир,Ф студи
895,Хязгааргүй,2014,100,5.8,И.Нямгаваа,Гэрэлт медиа групп
896,Улаан пальто,2014,106,6.3,Э.Чинзориг,Шүүдэр продакшн
897,Дурлалын магистр,2014,74,6.3,Б.Батзориг,МАСС продакшн Хаанаас үзэх вэ?
898,Тэртээх ертөнцийн хөгжимчин,2014,95,6.7,Ц.Чинбат,Блек мейжик
899,Луйвар,2014,86,6.3,Б.Цогтбаяр,Дээд гэгээн пикчерс
900,Үхэл амьдралын заагт,2013,100,6.3,Н.Нэргүйбаатар,Оргил Кино студи
901,Миний супер монита,2010,74,6.8,Б.Амарцогт,Орчлон фильм
902,Үргээлэг,2014,97,6.8,Ж.Сэнгэдорж,Прайм пикчерс Кино драмын А групп
903,Хүүгүй ломбард,2014,85,6.1,Д.Отгонбаяр,Оюунлаг продакшн
904,Улаан дөрвөлжин,2014,130,7.1,Б.Ганболд,Хамба фильм Хаанаас үзэх вэ?
905,Секс эрх чөлөө,2011,88,5.3,Ж.Жамъянсүрэн,Лоожикфильм (Logicfilm)
